"Scommerce Configuration","Scommerce Configuration"
"SEO Base","SEO Base"
General,General
Enable,Enable
"License Key","License Key"
"Exclude Root Categories","Exclude Root Categories"
"Exclude some root categories to appear in parent category dropdown against products","Exclude some root categories to appear in parent category dropdown against products"
